threshold_pct,n_M,n_F,wall_M_pct,wall_F_pct,OR,OR_CI_lo,OR_CI_hi,chi2_p
≥15%,658790,213880,27.984942090802836,19.138301851505517,1.641876760585876,1.6222246334268966,1.6617669596455742,0.0
≥20%,658790,213880,17.630807996478392,9.66289508135403,2.001088584224159,1.969952767859206,2.0327165134339116,0.0
≥25%,658790,213880,10.74879703699206,4.711520478773144,2.435707301684266,2.3839757427746813,2.4885614199132253,0.0
