gender,n_total,n_with_inflection,pct_with_inflection,n_no_inflection,pct_no_inflection,median_km,q25_km,q75_km,mean_km,sd_km
Male,645699,411101,63.66759124607596,234598,36.33240875392404,25.0,20.0,30.0,25.84536403462896,5.928014340282707
Female,211060,101224,47.95982185160618,109836,52.04017814839382,20.0,20.0,30.0,24.555638978898283,5.803082949994563
