performance_category,n_M,n_F,hit_M,hit_F,wall_pct_M,wall_pct_F,prevalence_ratio_M_to_F,OR,OR_CI_lo,OR_CI_hi
Competitive (<3h),40212,2131,572,5,1.42246095692828,0.2346316283435007,6.0625285984283295,6.135580221997982,2.5412667396729294,14.81361404250618
Advanced,113830,12203,5252,99,4.613897917947817,0.8112759157584201,5.687211746739112,5.913935724836644,4.843274790135941,7.221278426887991
Intermediate,195231,43146,15765,649,8.07504955667901,1.5041950586381125,5.368352668296958,5.752085964942014,5.314023638186508,6.22626002457418
Recreational,150163,57787,28245,2495,18.809560277831423,4.317580078564383,4.356505249599376,5.134113894548722,4.922202732266515,5.35514827729591
Casual,159354,98613,66316,17419,41.61552267279139,17.663999675499173,2.3559512815500185,3.322451691998127,3.2594021753085083,3.3867208315943356
