Quintile,n_M,n_F,wall_M_pct,wall_F_pct,slow_M_pct,slow_F_pct,OR,OR_CI_lo,OR_CI_hi
Q1 (top 10%),64776,20716,1.6117080400148203,0.8688936088047886,4.490307970249991,3.596653326481656,1.8689010230339547,1.5942246309631738,2.190902690913226
Q2 (10-25%),97185,31079,5.057364819673818,1.4865343157759259,6.366831805050971,4.434510070250709,3.5300727865754418,3.2061457385018914,3.886727209207666
Q3 (25-50%),161935,51817,8.29283354432334,3.7786826717100563,7.6874341868800915,6.372900770553441,2.302663885379758,2.19367821473057,2.4170641498044105
Q4 (50-75%),161966,51809,17.000481582554364,9.654693200023162,10.859537970438955,8.779870644077361,1.916693945343659,1.8564997686666223,1.9788398264954172
Q5 (bottom 25%),161965,51813,41.16383169203223,23.86852720359755,18.639186236093295,14.122705052795965,2.2315674688607663,2.181932141776876,2.2823319170788814
