Severity,n_M,n_F,pct_M,pct_F,ratio_M_to_F
Mild (10–15%),97479,34371,14.796672687806433,16.070226295118758,0.9207507359308836
Moderate (15–20%),68212,20266,10.354134094324444,9.475406770151487,1.0927376887861995
Severe (20–25%),45338,10590,6.882010959486331,4.951374602580887,1.3899192672473433
Catastrophic (>25%),70812,10077,10.74879703699206,4.711520478773144,2.281386037780949
