model,mcfadden_r2,aic,bic,llf,llnull,n,df_model
main_linear_age,0.15800695995392589,623955.3220081615,624036.9345047943,-311970.6610040807,-370514.53654178616,855061,6
interaction_sex_age,0.15811415852766741,623877.8847484259,623971.1561731491,-311930.94237421296,-370514.53654178616,855061,7
