predictor,vif
sex_male,4.27992637757196
age_mid,4.505236995810343
perf_Advanced,1.478129130211806
perf_Competitive,1.1624969739914692
perf_Intermediate,1.8369280503743861
perf_Recreational,1.6885716076680097
